ss,id,startDate,endDate,MID,study,confirmation_code,Ethn,Ethn_TEXT,Age,Gender,Edu,SES,1.11,threaten,attitudes,value,like,connected,Al-I-W-1,Al-I-W-1_TEXT,Al-I-W-2,1.12,threaten,attitude,value,like,connected,Alha-I-A-1,Alha-I-A-1_TEXT,Alha-I-A-2,1.13,threaten,attitude,value,like,connected,Alha-I-A-1,Alha-I-A-1_TEXT,Alha-I-A-2,2.21,threat,attitude,value,like,connected,Dani-D-W-1,Dani-D-W-1_TEXT,Dani-D-W-2,2.22,threat,feel,value,like,connected,Dany-D-A-1,Dany-D-A-1_TEXT,Dany-D-A-2,2.23,threaten,attitude,value,like,connected,Dany-D-A-1,Dany-D-A-1_TEXT,Dany-D-A-2,3.21,threaten,attitude,value,like,connected,Harr-D-W-1,Harr-D-W-1_TEXT,Harr-D-W-2,3.22,threat,attitude,value,like,connected,Har-D-A-1,Har-D-A-1_TEXT,Har-D-A-2,3.23,threaten,attitude,value,like,connected,Har-D-A-1,Har-D-A-1_TEXT,Har-D-A-2,4.11,threat,attitude,value,like,connected,Jeff-I-W-1,Jeff-I-W-1_TEXT,Jeff_I-W-2,4.12,threat,attitude,value,like,connected,Jaf-I-A-1,Jaf-I-A-1_TEXT,Jaf-I-A-2,4.13,threaten,attitude,value,like,connected,Jaf-I-A-1,Jaf-I-A-1_TEXT,Jaf-I-A-2,5.11,threat,attitude,value,like,connected,Chad-I-W-1,Chad-I-W-1_TEXT,Chad-I-W-2,5.12,threat,attitude,value,like,connected,Chah-I-A-1,Chah-I-A-1_TEXT,Chah-I-A-2,5.13,threaten,attitude,value,like,connected,Chah-I-A-1,Chah-I-A-1_TEXT,Chah-I-A-2,6.21,threat,attitude,value,like,connected,Adam-D-W-1,Adam-D-W-1_TEXT,Adam-D-W-2,6.22,threat,attitude,value,like,connected,Adna-D-A-1,Adna-D-A-1_TEXT,Adna-D-A-2,6.23,threat,attitude,value,like,connected,Adna-D-A-1,Adna-D-A-1_TEXT,Adna-D-A-2,1.21,threat,attitude,value,like,connected,Al-D-W-1,Al-D-W-1_TEXT,Al-D-W-2,1.22,threat,attitude,value,like,connected,Alha-D-A-1,Alha-D-A-1_TEXT,Alha-D-A-2,1.23,threat,attitude,value,like,connected,Alha-D-A-1,Alha-D-A-1_TEXT,Alha-D-A-2,2.11,threat,attitude,value,like,connected,Dani-I-W-1,Dani-I-W-1_TEXT,Dani-I-W-2,2.12,threat,attitude,value,like,connected,Dany-I-A-1,Dany-I-A-1_TEXT,Dany-I-A-2,2.13,threat,attitude,value,like,connected,Dany-I-A-1,Dany-I-A-1_TEXT,Dany-I-A-2,3.11,threat,attitude,value,like,connected,Harr-I-W-1,Harr-I-W-1_TEXT,Harr-I-W-2,3.12,threat,attitude,value,like,connected,Har-I-A-1,Har-I-A-1_TEXT,Har-I-A-2,3.13,threat,attitude,value,like,connected,Har-I-A-1,Har-I-A-1_TEXT,Har-I-A-2,4.21,threat,attitude,value,like,connected,Jeff-D-W-1,Jeff-D-W-1_TEXT,Jeff-D-W-2,4.22,threat,attitude,value,like,connected,Jafr-D-A-1,Jafr-D-A-1_TEXT,Jafr-D-A-2,4.23,threat,attitude,value,like,connected,Jafr-D-A-1,Jafr-D-A-1_TEXT,Jafr-D-A-2,5.21,threat,attitude,value,like,connected,Chad-D-W-1,Chad-D-W-1_TEXT,Chad-D-W-2,5.22,threat,attitude,value,like,connected,Chah-D-A-1,Chah-D-A-1_TEXT,Chah-D-A-2,5.23,threat,attitude,value,like,connected,Chah-D-A-1,Chah-D-A-1_TEXT,Chah-D-A-2,6.11,threat,attitude,value,like,connected,Adam-I-W-1,Adam-I-W-1_TEXT,Adam-I-W-2,6.12,threat,attitude,value,like,connected,Adna-I-A-1,Adna-I-A-1_TEXT,Adna-I-A-2,6.13,threat,attitude,value,like,connected,Adna-I-A-1,Adna-I-A-1_TEXT,Adna-I-A-2,check1,check2,check_excl,comp1_eth,comp1_eth_recode,comp2_cond,exclude2,exclude,vignette.condition.eth,vignette,vignette_name,condition,cond_name,eth_cond,eth_cond_name,threat,attitude,value,like ,connected,identification,ts_forced,ts_forced_recode,ts_scaled,ethn_ss,Ethn_TEXT,ATT_CENT,IDENT_CENT,COND_DUMMY,ETH_IMMIG,ETH_SYRIAN
175,R_2ZV82xXyxJsR8q6,1/8/16 9:45,1/8/16 9:50,A360BYRIPKVU0T,Julian_1,18027196,6,,28,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,5,5,4,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,6.22,6,police,2,deterioration,2,immigrant,2,5,5,5,4,4.666666667,2,0,4,6,,-0.357843137,-0.486601307,1,1,0
176,R_3EQfA4KQCVIEk1v,1/8/16 9:48,1/8/16 9:50,A1M1TSMJB12177,Julian_1,60440359,6,,57,1,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,1,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,4.22,4,alcohol,2,deterioration,2,immigrant,1,5,5,5,1,3.666666667,1,1,9,6,,-0.357843137,-1.486601307,1,1,0
177,R_3PU1Lrm04KFcgny,1/8/16 9:47,1/8/16 9:50,A3GR74EBCPGKKA,Julian_1,91306155,1,,29,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,8,7,9,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,5.13,5,minorities,1,improvement,3,syrian,1,7,8,7,9,8,3,0,6,1,,1.642156863,2.846732026,0,0,1
178,R_31vAEuGdkQutLc2,1/8/16 9:48,1/8/16 9:50,A2DYC5JLWTXFUR,Julian_1,11560047,6,,25,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,7,5,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,1,1,5.12,5,minorities,1,improvement,2,immigrant,1,5,7,7,5,6.333333333,1,1,7,6,,-0.357843137,1.180065359,0,1,0
179,R_1dgmyOFbBsLX64S,1/8/16 9:45,1/8/16 9:50,A5YMAPB0PMH03,Julian_1,89640547,6,,35,2,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,4,4,3,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,3.13,3,biz,1,improvement,3,syrian,4,5,4,4,3,3.666666667,1,1,7,6,,-0.357843137,-1.486601307,0,0,1
180,R_xgT1mqDdTDHcoGl,1/8/16 9:48,1/8/16 9:50,AUVC78LEL0T6L,Julian_1,76503267,6,,25,1,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,9,5,7,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,2.22,2,terr,2,deterioration,2,immigrant,1,5,9,5,7,7,2,0,1,6,,-0.357843137,1.846732026,1,1,0
181,R_2419ub0EdzAmdup,1/8/16 9:32,1/8/16 9:50,A3FRH36NOROTS6,Julian_1,31139288,2,,21,1,4,8,1,3,5,4,4,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,2,0,1,1,1,1.11,1,dad,1,improvement,1,white,3,5,4,4,3,3.666666667,2,0,4,2,,-0.357843137,-1.486601307,0,0,0
182,R_OfmipcAmXQHihnr,1/8/16 9:49,1/8/16 9:50,A1TGBCLWRWTR92,Julian_1,77814772,6,,37,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,5,7,7,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,4.12,4,alcohol,1,improvement,2,immigrant,5,4,5,7,7,6.333333333,1,1,7,6,,-1.357843137,1.180065359,0,1,0
183,R_ZytVkoJbrXqmTHX,1/8/16 9:44,1/8/16 9:50,A3SFOMSYIX93KP,Julian_1,98241910,6,,42,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,5,5,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,2.22,2,terr,2,deterioration,2,immigrant,7,5,5,5,1,3.666666667,2,0,1,6,,-0.357843137,-1.486601307,1,1,0
184,R_3MrQVItXFHFvnET,1/8/16 9:47,1/8/16 9:50,A1WRQCH7EPLS35,Julian_1,59583176,6,,43,1,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,9,6,8,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,3.23,3,biz,2,deterioration,3,syrian,1,6,9,6,8,7.666666667,2,0,5,6,,0.642156863,2.513398693,1,0,1
185,R_a8Zpd8Usi8MbCHD,1/8/16 9:47,1/8/16 9:50,A2FOOQ0376XKCO,Julian_1,54263067,6,,52,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,3,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,I HAVE READ THE INSTRUCTIONS,0,5,2,2,0,0,5.23,5,minorities,2,deterioration,3,syrian,5,5,5,5,3,4.333333333,2,0,7,6,,-0.357843137,-0.819934641,1,0,1
186,R_3neLosFfSwsneIh,1/8/16 9:47,1/8/16 9:50,A1OSBPDYPJU3BX,Julian_1,57694169,6,,61,2,8,3,1,5,4,5,5,4,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,0,1.11,1,dad,1,improvement,1,white,5,4,5,5,4,4.666666667,1,1,7,6,,-1.357843137,-0.486601307,0,0,0
187,R_2foAy3S8g8z9Gf9,1/8/16 9:47,1/8/16 9:50,A31ZO4MKHCP3R5,Julian_1,88042325,7,White / Hispanic ,32,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,6,7,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,0,5.21,5,minorities,2,deterioration,1,white,5,6,6,7,4,5.666666667,2,0,3,7,White / Hispanic ,0.642156863,0.513398693,1,0,0
188,R_1qWhvGpKpSpz7uc,1/8/16 9:48,1/8/16 9:51,A1NZFJHVJ9CNTO,Julian_1,42660299,6,,25,1,2,7,,,,,,,,,,,,,,,,,,,1,5,5,2,2,2,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i have read the instructions,0,6,1,1,1,1,1.13,1,dad,1,improvement,3,syrian,5,5,2,2,2,2,1,1,7,6,,-0.357843137,-3.153267974,0,0,1
189,R_A11eTFdbtHJIOrL,1/8/16 9:49,1/8/16 9:51,A2JRONMDBUJT3K,Julian_1,62996625,3,,22,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,3,0,3,1,1,5.22,5,minorities,2,deterioration,2,immigrant,1,2,2,2,1,1.666666667,1,1,8,3,,-3.357843137,-3.486601307,1,1,0
190,R_2V2sx7dlZD7SWgS,1/8/16 9:48,1/8/16 9:51,A3FJWFCS4WM9ER,Julian_1,46251733,6,,34,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,7,7,7,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,0,4.11,4,alcohol,1,improvement,1,white,2,8,7,7,7,7,2,0,7,6,,2.642156863,1.846732026,0,0,0
191,R_3CIrRCTyZYCfJYt,1/8/16 9:44,1/8/16 9:51,A3OZKG3PMNM4TK,Julian_1,71045569,6,,48,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,4,4,4,1,,7,,,,,,,,,,,I have read the instuctions,0,5,2,3,0,1,6.12,6,police,1,improvement,2,immigrant,3,4,4,4,4,4,1,1,7,6,,-1.357843137,-1.153267974,0,1,0
192,R_2bPhpomGCqhXs1B,1/8/16 9:49,1/8/16 9:51,A3LARK2XWBY8BI,Julian_1,69496586,6,,24,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,4,6,5,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,3,1,1,2.12,2,terr,1,improvement,2,immigrant,6,5,4,6,5,5,2,0,6,6,,-0.357843137,-0.153267974,0,1,0
193,R_1PdT4OZm15mu99i,1/8/16 9:48,1/8/16 9:51,AA5OOUN82FYES,Julian_1,70443512,6,,37,2,4,8,,,,,,,,,,1,2,8,8,8,8,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i have Read the instructions,0,5,2,1,0,0,1.12,1,dad,1,improvement,2,immigrant,2,8,8,8,8,8,1,1,7,6,,2.642156863,2.846732026,0,1,0
194,R_YRh86t26E4cUzu1,1/8/16 9:49,1/8/16 9:51,A1B3U4SJCRGP6C,Julian_1,53488693,6,,39,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,4,6,4,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,1.23,1,dad,2,deterioration,3,syrian,2,5,4,6,4,4.666666667,2,0,5,6,,-0.357843137,-0.486601307,1,0,1
195,R_2axeEOwaE05QyKo,1/8/16 9:49,1/8/16 9:51,A2A1FS0KVLJ9ZT,Julian_1,53959596,1,,25,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,3,5,3,2,,6,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,0,6.11,6,police,1,improvement,1,white,3,5,3,5,3,3.666666667,2,0,6,1,,-0.357843137,-1.486601307,0,0,0
196,R_1jVXCPy11hgm57W,1/8/16 9:48,1/8/16 9:51,A39YBLQYIUBR76,Julian_1,67126217,6,,42,1,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,5,4,2,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,2.12,2,terr,1,improvement,2,immigrant,7,3,5,4,2,3.666666667,2,0,5,6,,-2.357843137,-1.486601307,0,1,0
197,R_3KZ7E1cqunL52GH,1/8/16 9:49,1/8/16 9:51,A2CZL2LYH2130N,Julian_1,50032299,6,,41,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,7,4,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,4.23,4,alcohol,2,deterioration,3,syrian,1,5,7,7,4,6,1,1,7,6,,-0.357843137,0.846732026,1,0,1
198,R_31uD2Sm6RyeS2jm,1/8/16 9:49,1/8/16 9:51,AQI607LDJBR38,Julian_1,37247692,6,,29,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,3,4,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,0,3.21,3,biz,2,deterioration,1,white,5,5,3,4,2,3,2,0,3,6,,-0.357843137,-2.153267974,1,0,0
