ss,id,MID,Age,Gender,Edu,SES,Comp2,check_excl,1.11,ALWTS-T_3,Al-W-TS-1,Al-W-TS-2,DONATION-T_3,DONATION,1.12,DONATION-T_3,DONATION,ALWD-T_3,AL-W-TS1,AL-W-TS2,1.21,ALITS-T_3,AL-I-TS1,AL-I-TS2,DONATION-T_3,DONATION,1.22,DONATION-T_3,DONATION,ALID-T_3,AL-I-TS1,AL-I-TS2,2.11,DANWTS-T_3,DAN-W-TS-1,DAN-W-TS-2,DONATION-T_3,DONATION,2.12,DONATION-T_3,DONATION,DANWD-T_3,DAN-W-TS1,DAN-W-TS2,2.21,DANYITS-T_3,DAN-I-TS1,DAN-I-TS2,DONATION-T_3,DONATION,2.22,DONATION-T_3,DONATION,DANYID-T_3,DAN-I-TS1,DAN-I-TS2,3.11,HARRWTS-T_3,HAR-W-TS1,HAR-W-TS2,DONATION-T_3,DONATION,3.12,DONATION-T_3,DONATION,HARWD-T_3,HAR-W-TS1,HAR-W-TS2,3.21,HARITS-T_3,HAR-I-TS1,HAR-I-TS2,DONATION-T_3,DONATION,3.22,DONATION-T_3,DONATION,HARID-T_3,HAR-I-TS1,HAR-I-TS2,4.11,JEFWTS-T_3,JEF-W-TS1,JEF-W-TS2,DONATION-T_3,DONATION,4.12,DONATION-T_3,DONATION,JEFWD-T_3,JEF-W-TS1,JEF-2-TS2,4.21,JAFITS-T_3,JAF-I-TS1,JAF-I-TS2,DONATION-T_3,DONATION,4.22,DONATION-T_3,DONATION,JAFID-T_3,JAF-I-TS1,JAF-I-TS2,5.11,CHADWTS-T_3,CHA-W-TS1,CHA-W-TS2,DONATION-T_3,DONATION,5.12,DONATION-T_3,DONATION,CHADWD-T_3,CHAD-W-TS1,CHAD-W-TS2,5.21,CHAHITS-T_3,CHA-I-TS1,CHA-I-TS2,DONATION-T_3,DONATION,5.22,DONATION_3,DONATION,CHAHID-T_3,CHAH-I-TS1,CHAH-I-TS2,6.11,ADAMWTS-T_3,ADA-W-TS1,ADA-W-TS2,DONATION-T_3,DONATION,6.12,DONATION-T_3,DONATION,ADAMWD-T_3,ADAM-W-TS1,ADAM-W-TS2,6.21,ADNAITS-T_3,ADN-I-TS-1,ADN-I-TS-2,DONATION-T_3,DONATION,6.22,DONATION-T_3,DONATION,ADNAID-T_3,ADNA-I-TS1,ADNA-I-TS2,vignette.eth.order,vignette,vignette_name,eth,eth_name,order,order_name,ts_time,ts_forced,ts_scale,donation_time,donation,ethn_ss,comp_eth,comp_eth_recode,comp_char,Comp2,check_excl,exclude
11,R_1r0l5bObVXIOq2S,A341FR20648KIN,19,1,2,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.871,12,36.277,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4,alcohol,1,white,2,Donation_first,36.277,1,8,12.871,12,6,6,1,2,I have read the instructions,0,0
12,R_3ffyrMyUucpvYug,A19Z8NL7M5AXYN,25,1,4,8,I have read instructions,0,,,,,,,,,,,,,,,,,,,,20.481,16,46.166,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1,dad,2,immigrant,2,Donation_first,46.166,2,6,20.481,16,2,5,2,2,I have read instructions,0,1
13,R_2QzcxyA6jQi6mcp,A2AB2LSLME1VLP,39,1,6,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.494,12,30.415,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,4,alcohol,2,immigrant,2,Donation_first,30.415,1,8,13.494,12,6,6,1,2,I have read the instructions,0,1
14,R_1QzmF6kCbBwRzDA,A3D4RBVVLFBLLQ,63,1,5,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.767,12,48.14,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,3,biz,2,immigrant,2,Donation_first,48.14,2,7,13.767,12,6,5,2,2,I have read the instructions,0,0
15,R_3NHYNewxxPAA0ww,A1HCV6GDGGWNUR,29,1,3,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.846,12,28.162,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,2,terr,1,white,2,Donation_first,28.162,1,7,14.846,12,6,6,1,2,I have read the instructions,0,0
16,R_2QQfrkzIeg8XMIH,A1CC1ESUM2JWJ2,30,2,5,8,I have read the instructions ,0,,19.465,2,1,5.81,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1,dad,1,white,1,TS_first,19.465,2,1,5.81,16,6,6,1,2,I have read the instructions ,0,0
17,R_1mO6SFEUhmZVJKF,AZ3UJSORE5QF3,23,2,5,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.506,16,48.188,1,9,6.22,6,police,2,immigrant,2,Donation_first,48.188,1,9,6.506,16,6,6,1,2,I have read the instructions,0,1
18,R_24IwqqpJICeVUCF,A2QSVBUPZQ9USZ,27,1,4,10,i have read the instructions,0,,,,,,,,,,,,,,7.558,1,6,2.038,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1,dad,2,immigrant,1,TS_first,7.558,1,6,2.038,19,6,6,1,2,i have read the instructions,0,1
19,R_3fCCeteBGd3Hrlp,A35LPTBJU698C9,34,1,5,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.136,1,7,14.512,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,5,minorities,1,white,1,TS_first,34.136,1,7,14.512,16,6,7,0,2,I have read the instructions,0,1
20,R_2wKysGGLQrMNSNX,A2ELLVV8X003ZD,37,2,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.074,1,9,13.586,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,5,minorities,2,immigrant,1,TS_first,27.074,1,9,13.586,12,6,5,2,2,I have read the instructions,0,0
21,R_1g6gXMNEfJBk0ze,A138M4A1NILVRB,32,2,5,4,i have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,26.605,1,7,8.608,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2,terr,1,white,1,TS_first,26.605,1,7,8.608,16,6,6,1,2,i have read the instructions,0,0
22,R_2fDVaA85lr9Xzcu,AA03PJMK4FL24,44,2,5,4,I have read the instructions.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.018,2,7,19.192,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2,terr,2,immigrant,1,TS_first,54.018,2,7,19.192,12,6,5,2,2,I have read the instructions.,0,0
23,R_AnELqDw5Idj6D7z,A3FYSDFRZF4T8,48,2,4,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.631,12,83.085,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3,biz,1,white,2,Donation_first,83.085,1,9,10.631,12,6,6,1,2,I have read the instructions,0,0
24,R_2qkQykWtzAEQvKo,A2NNIHQMEK30FZ,33,1,4,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.298,12,48.072,2,6,,,,,,,,,,,,,,,,,,,,,,,,,5.22,5,minorities,2,immigrant,2,Donation_first,48.072,2,6,22.298,12,6,5,2,2,I have read the instructions,0,0
25,R_1Csi3M58VCcaHf1,A21PHU3GF0N1YW,58,2,5,3,I have read the instructions but not until I answered the question.,0,,,,,,,,,,,,,,,,,,,,,,,,,,31.642,1,9,34.932,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2,terr,1,white,1,TS_first,31.642,1,9,34.932,16,6,6,1,2,I have read the instructions but not until I answered the question.,0,0
26,R_1f3lpWOkMn3Bff7,AIUKV0KVALMY6,30,2,2,10,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.975,2,3,8.43,12,,,,,,,6.21,6,police,2,immigrant,1,TS_first,21.975,2,3,8.43,12,6,5,2,2,I have read the instructions,0,0
27,R_31TrcWv2rcdLJDl,A1EVW13BQQMRRO,48,2,4,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,11.089,12,60.624,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1,dad,2,immigrant,2,Donation_first,60.624,2,9,11.089,12,6,5,2,2,I have read the instructions,0,0
28,R_3sh85hR5HSYnISk,A2VJDA00QPWO7J,28,1,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.762,1,7,3.472,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,3,biz,2,immigrant,1,TS_first,11.762,1,7,3.472,12,3,5,2,2,I have read the instructions,0,1
29,R_UzoDIdSYQWTK2TT,A35XWPYL7QWEW5,21,2,4,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.399,2,5,12.642,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,5,minorities,2,immigrant,1,TS_first,42.399,2,5,12.642,13,6,5,2,2,I have read the instructions,0,0
30,R_2xIZ95qZbX0CmaK,AZ57DJH5022PX,24,2,4,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.408,16,58.172,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,4,alcohol,2,immigrant,2,Donation_first,58.172,1,7,28.408,16,6,5,2,2,I have read the instructions,0,0
31,R_3n7pGSiuybzNIts,A3R9S57RHJ4CO3,55,2,5,5,I HAVE READ THE INSTRUCTIONS,0,,,,,,,,5.991,12,50.422,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1,dad,1,white,2,Donation_first,50.422,2,7,5.991,12,6,5,2,2,I HAVE READ THE INSTRUCTIONS,0,1
32,R_3rV38UIdmxX070v,A2HR7ZIX42FEPG,28,2,5,9,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.756,16,46.168,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5,minorities,1,white,2,Donation_first,46.168,1,7,23.756,16,6,6,1,2,I have read the instructions,0,0
33,R_2y45mqLb78JuyNI,A13H9GFVW51ORM,31,2,2,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.006,12,32.311,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4,alcohol,1,white,2,Donation_first,32.311,1,9,24.006,12,6,6,1,2,I have read the instructions,0,0
34,R_2U3ffcQfP1OVGe5,A1BWWGLDDZ3J2B,33,2,5,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.889,1,5,19.974,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,3,biz,1,white,1,TS_first,48.889,1,5,19.974,16,6,6,1,2,I have read the instructions,0,0
35,R_plwoQ0IALAM6l7X,A34ZSF2JSRXIRP,34,2,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.275,12,48.864,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,3,biz,2,immigrant,2,Donation_first,48.864,2,6,24.275,12,6,5,2,2,I have read the instructions,0,0
36,R_1JIA8b61lsEL0Sk,A3NKA5KYYMG44F,63,2,3,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.063,13,40.399,1,8,,,,,,,,,,,,,6.12,6,police,1,white,2,Donation_first,40.399,1,8,27.063,13,6,6,1,2,I have read the instructions,0,0
37,R_0CEBR4mVcjQx3sB,AZOSPSM7NDUDA,51,2,4,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.269,16,37.137,1,7,6.22,6,police,2,immigrant,2,Donation_first,37.137,1,7,11.269,16,6,5,2,2,,1,1
38,R_2zP8zIA7ZIXE5PN,A8M21O74D3SFU,32,2,5,6,i have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.961,1,8,18.636,12,,,,,,,,,,,,,,,,,,,6.11,6,police,1,white,1,TS_first,37.961,1,8,18.636,12,2,6,1,2,i have read the instructions,0,1
39,R_XuGXJaGKhu0Axmp,A1Z3V4ZJ7C7T1A,38,2,6,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.065,1,7,26.341,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,5,minorities,1,white,1,TS_first,83.065,1,7,26.341,16,3,3,0,2,I have read the instructions,0,1
40,R_3IdxbwyNv3TOIVj,AV0NB9Q2CBS88,28,1,5,8,I have read the instructions,0,,27.913,2,4,20.855,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1,dad,1,white,1,TS_first,27.913,2,4,20.855,16,6,6,1,2,I have read the instructions,0,0
41,R_3M51LNeqJuHe1eM,ABUABR22YMOGG,27,1,4,5,I have read the instructions,0,,,,,,,,,,,,,,51.582,1,9,28.293,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1,dad,2,immigrant,1,TS_first,51.582,1,9,28.293,16,1,1,0,2,I have read the instructions,0,1
42,R_3rYrLpoixRIUtTH,AZYO712QAF8HI,61,1,5,1,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.87,21,121.593,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3,biz,1,white,2,Donation_first,121.593,1,9,23.87,21,3,6,1,2,I have read the instructions,0,1
43,R_3suGuaDC5ZdTm5P,,22,2,4,1,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.282,1,5,18.853,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2,terr,2,immigrant,1,TS_first,8.282,1,5,18.853,16,6,6,1,2,I have read the instructions,0,1
